,Title,Type,Rating score,Rating Count,Enrollments,Level
232,Introduction to Public Health Engineering in Humanitarian Contexts,COURSE,4.8,218,6k,Beginner
233,Big data and Language 1,COURSE,4.5,52,2.2k,Beginner
234,Qualitative Research,COURSE,4.6,234,12k,Intermediate
235,Criação de Startups: Como desenvolver negócios inovadores,COURSE,4.8,495,32k,Beginner
236,Increase SEO Traffic with WordPress,GUIDED PROJECT,4.4,169,4.8k,Advanced
237,Building High-Performing Teams,COURSE,4.8,206,11k,Beginner
238,Software Product Management Capstone,COURSE,4.8,733,11k,Mixed
239,Reviews & Metrics for Software Improvements,COURSE,4.7,1342,23k,Mixed
241,Ethical Social Media,COURSE,4.4,63,6.5k,Mixed
242,Interview Research and Preparation,COURSE,4.6,188,28k,Intermediate
243,FPGA computing systems: Background knowledge and introductory materials,COURSE,4.6,150,8.4k,Beginner
245,Power Onboarding,COURSE,4.2,27,3.7k,Beginner
246,Use Canva to Create Social Media Marketing Designs,GUIDED PROJECT,4.5,1025,16k,Beginner
247,Cybersecurity Policy for Water and Electricity Infrastructures,COURSE,4.6,140,2.7k,Beginner
249,Cybersecurity Policy for Aviation and Internet Infrastructures,COURSE,4.7,170,3.3k,Beginner
250,New Venture Finance: Startup Funding for Entrepreneurs,COURSE,4.6,293,24k,Mixed
251,商务英语课程 Business English,SPECIALIZATION,4.7,31,4.2k,Intermediate
252,"Learn to Teach Java:  Sequences, Primitive Types and Using Objects",COURSE,4.8,19,2.4k,Beginner
253,Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),COURSE,4.5,58,1.7k,Mixed
254,Making Your First Virtual Reality Game,COURSE,4.3,47,14k,Intermediate
257,"Planning: Principled, Proposing, Proofing, and Practicing to a Success Plan",COURSE,3.9,23,8.8k,Mixed
259,Nursing Informatics Training and Education,COURSE,4.7,41,1.9k,Intermediate
260,Writing in English at University,COURSE,4.7,341,95k,Beginner
261,"Grow Your Business with Goldman Sachs 10,000 Women",COURSE,4.7,226,13k,Mixed
262,Lesson | Business English Skills: Introducing Yourself in Business Settings,COURSE,4.2,16,6.4k,Intermediate
263,Giving 2.0: The MOOC,COURSE,4.6,145,27k,Mixed
264,Internet of Things V2: DragonBoard™ bring up and community ecosystem,COURSE,3.2,20,4.8k,Mixed
266,Responsive Website Development and Design Capstone,COURSE,4.7,49,3.8k,Mixed
267,Tinkering Fundamentals: Circuits,COURSE,4.7,41,6.5k,Beginner
275,Machine Learning for Everyone with Eric Siegel,SPECIALIZATION,4.8,46,2.5k,Beginner
276,Semantic Segmentation with Amazon Sagemaker,GUIDED PROJECT,4.8,33,2k,Advanced
282,Responsive Website Development and Design,SPECIALIZATION,4.5,6204,210k,Beginner
283,Write A Feature Length Screenplay For Film Or Television,COURSE,4.7,45,20k,Beginner
284,Econometrics: Methods and Applications,COURSE,4.6,978,130k,Mixed
285,Object-Oriented Design,COURSE,4.7,1215,45k,Intermediate
286,Confronting Gender Based Violence: Global Lessons for Healthcare Workers,COURSE,4.8,154,16k,Beginner
287,AWS Computer Vision: Getting Started with GluonCV,COURSE,4.6,318,31k,Beginner
288,Big Data Modeling and Management Systems,COURSE,4.4,2671,65k,Mixed
291,Violence Against Healthcare,COURSE,4.6,45,2.3k,Beginner
292,iOS App Development Basics,COURSE,4.2,532,34k,Mixed
293,Burgos: Deciphering Secrets of Medieval Spain,COURSE,4.2,9,1.5k,Advanced
294,PrEParing: PrEP for Providers and Patients,COURSE,4.7,94,3.1k,Beginner
296,Building the Business Model for Corporate Entrepreneurs,COURSE,4.7,50,5.5k,Beginner
297,Transmedia Writing,COURSE,4.4,34,10k,Beginner
298,Innovation Management,COURSE,4.7,1117,50k,Beginner
299,Building Conversational Experiences with Dialogflow,COURSE,4.5,786,32k,Beginner
300,Using clinical health data for better healthcare,COURSE,4.6,49,3.7k,Beginner
301,COVID-19 Training for Healthcare Workers,COURSE,4.9,1000,24k,Mixed
302,"Revolutionary Ideas: Utility, Justice, Equality, Freedom",COURSE,4.6,74,10k,Beginner
303,"Revolutionary Ideas: Borders, Elections, Constitutions, Prisons",COURSE,5,16,4.4k,Beginner
304,Mathematics for Machine Learning: Linear Algebra,COURSE,4.7,8098,190k,Beginner
305,Chimpanzee Behavior and Conservation,COURSE,4.9,153,5.2k,Beginner
306,Search Advertising,COURSE,4.3,47,4.2k,Beginner
307,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,COURSE,4.8,909,40k,Mixed
308,Marketing con Redes Sociales,SPECIALIZATION,4.4,2467,80k,Intermediate
309,Marketing Digital,SPECIALIZATION,4.7,1725,74k,Beginner
310,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,COURSE,4.6,495,27k,Intermediate
311,Children's Human Rights - An Interdisciplinary Introduction,COURSE,4.7,1326,46k,Beginner
312,Implementación del Marketing Mix,SPECIALIZATION,4.8,1038,33k,Beginner
313,Global Financial Markets and Instruments,COURSE,4.6,1307,51k,Mixed
314,AWS Fundamentals: Addressing Security Risk,COURSE,4.4,1867,31k,Beginner
315,Strategy Implementation,COURSE,4.6,769,19k,Mixed
316,Palo Alto Networks Academy Cybersecurity Foundation,COURSE,4.7,447,15k,Beginner
317,Enterprise System Management and Security,COURSE,4.6,447,17k,Beginner
318,"Comunicaciones integradas de marketing: Publicidad, Relaciones Públicas, Marketing Digital y más",COURSE,4.8,369,14k,Mixed
319,Privacy in the Western World,COURSE,4.5,114,4k,Beginner
